"id","station_id","name","longitude","latitude","station_name"
1,1,"Main Entry","79.01940000000002","26.7854","Etawah Junction"
2,1,"Ticket Counter","79.0199","26.785899999999998","Etawah Junction"
3,1,"Waiting Area","79.02040000000001","26.7864","Etawah Junction"
4,1,"Platform 1","79.02140000000001","26.787399999999998","Etawah Junction"
5,1,"Platform 2","79.02190000000002","26.7879","Etawah Junction"
6,1,"Washroom","79.02010000000001","26.7863","Etawah Junction"
7,1,"Eatables Stall","79.02060000000002","26.7867","Etawah Junction"
8,1,"Book Shop","79.02110000000002","26.7872","Etawah Junction"
9,1,"Lift","79.02130000000001","26.787","Etawah Junction"
10,2,"Main Entry","77.9955","27.192500000000006","Birapatti"
11,2,"Ticket Counter","77.996","27.193000000000005","Birapatti"
12,2,"Waiting Area","77.9965","27.193500000000007","Birapatti"
13,2,"Platform 1","77.9975","27.194500000000005","Birapatti"
14,2,"Platform 2","77.998","27.195000000000007","Birapatti"
15,2,"Washroom","77.9962","27.193400000000008","Birapatti"
16,2,"Eatables Stall","77.9967","27.193800000000007","Birapatti"
17,2,"Book Shop","77.9972","27.194300000000005","Birapatti"
18,2,"Lift","77.9974","27.194100000000006","Birapatti"
19,3,"Main Entry","83.56179999999999","25.936500000000002","Babatpur"
20,3,"Ticket Counter","83.56229999999998","25.937","Babatpur"
21,3,"Waiting Area","83.56279999999998","25.937500000000004","Babatpur"
22,3,"Platform 1","83.56379999999999","25.9385","Babatpur"
23,3,"Platform 2","83.56429999999999","25.939000000000004","Babatpur"
24,3,"Washroom","83.56249999999999","25.937400000000004","Babatpur"
25,3,"Eatables Stall","83.56299999999999","25.937800000000003","Babatpur"
26,3,"Book Shop","83.56349999999999","25.9383","Babatpur"
27,3,"Lift","83.56369999999998","25.938100000000002","Babatpur"
28,4,"Main Entry","81.85870000000001","25.392200000000003","Kashi"
29,4,"Ticket Counter","81.8592","25.3927","Kashi"
30,4,"Waiting Area","81.8597","25.393200000000004","Kashi"
31,4,"Platform 1","81.86070000000001","25.3942","Kashi"
32,4,"Platform 2","81.86120000000001","25.394700000000004","Kashi"
33,4,"Washroom","81.85940000000001","25.393100000000004","Kashi"
34,4,"Eatables Stall","81.85990000000001","25.393500000000003","Kashi"
35,4,"Book Shop","81.86040000000001","25.394000000000002","Kashi"
36,4,"Lift","81.8606","25.393800000000002","Kashi"
37,5,"Main Entry","81.8659","25.4675","Raja Ki Mandi"
38,5,"Ticket Counter","81.86639999999998","25.468","Raja Ki Mandi"
39,5,"Waiting Area","81.86689999999999","25.468500000000002","Raja Ki Mandi"
40,5,"Platform 1","81.86789999999999","25.4695","Raja Ki Mandi"
41,5,"Platform 2","81.8684","25.470000000000002","Raja Ki Mandi"
42,5,"Washroom","81.86659999999999","25.468400000000003","Raja Ki Mandi"
43,5,"Eatables Stall","81.8671","25.4688","Raja Ki Mandi"
44,5,"Book Shop","81.8676","25.4693","Raja Ki Mandi"
45,5,"Lift","81.86779999999999","25.4691","Raja Ki Mandi"
